name_id	domain	kingdom	phylum	class	order	family
27530	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Russulales	Stereaceae
27531	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cyphellaceae
27532	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Russulales	Peniophoraceae
27533	Eukarya	Fungi	Ascomycota	Sordariomycetes	Melanosporales	Ceratostomataceae
27534	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae
27535	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae
27536	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Phanerochaetaceae
27537	Eukarya	Fungi	Basidiomycota	Agaricomycetes		
27538	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Gloeophyllales	Gloeophyllaceae
27539	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cyphellaceae
27540	Eukarya	Fungi	Basidiomycota	Agaricomycetes		
27541	Eukarya	Fungi	Ascomycota			
27542	Eukarya	Fungi	Basidiomycota	Agaricomycetes		
27543	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Meruliaceae
27544	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Russulales	
27545	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Botryobasidiaceae
27547	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Corticiales	Corticiaceae
27548	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Auriculariales	Auriculariaceae
27549	Eukarya	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Cladoniaceae
27550	Eukarya	Fungi	Ascomycota			
27551	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Phanerochaetaceae
27552	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Hymenochaetaceae
27553	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Gomphales	Lentariaceae
27555	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Boletales	Paxillaceae
27556	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Meruliaceae
27557	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Hymenochaetaceae
27562	Eukarya	Fungi	Ascomycota			
27564	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Meruliaceae
27565	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Clavariaceae
27566	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cyphellaceae
27567	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Atheliales	Atheliaceae
27568	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Atheliales	Atheliaceae
27569	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae
27570	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Hydnaceae
27571	Eukarya	Fungi	Basidiomycota	Agaricomycetes		
27572	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Polyporales	
27573	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Boletales	Amylocorticiaceae
27576	Eukarya	Fungi	Ascomycota	Lecanoromycetes	Ostropales	Stictidaceae
27577	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Meruliaceae
27578	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Schizoporaceae
27580	Eukarya	Fungi	Basidiomycota	Agaricomycetes		
27582	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Corticiales	Corticiaceae
27583	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Schizoporaceae
27584	Eukarya	Fungi	Basidiomycota	Agaricomycetes		
27585	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Russulales	Bondarzewiaceae
27586	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Ganodermataceae
27588	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Rickenellaceae
27589	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Pterulaceae
27591	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Corticiales	Corticiaceae
27593	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Russulales	Peniophoraceae
27595	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Corticiales	Corticiaceae
27596	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Russulales	Stephanosporaceae
27597	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae
27598	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Atheliales	Atheliaceae
27599	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Corticiales	Corticiaceae
27600	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae
27601	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Atheliales	Atheliaceae
27602	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Schizoporaceae
27603	Eukarya	Fungi	Ascomycota	Dothideomycetes		Myxotrichaceae
27605	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Russulales	Stereaceae
27606	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Russulales	Stereaceae
27607	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Atheliales	Atheliaceae
27608	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Corticiales	Corticiaceae
27609	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Phanerochaetaceae
27610	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Hydnaceae
27611	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Pterulaceae
27612	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae
27614	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Russulales	Peniophoraceae
27615	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Russulales	Peniophoraceae
27616	Eukarya	Fungi	Basidiomycota	Agaricomycetes		
27617	Eukarya	Fungi	Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae
27618	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae
27619	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Corticiales	Corticiaceae
27620	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Meruliaceae
27621	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae
27622	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Meruliaceae
27623	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Polyporales	
27624	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Russulales	Stephanosporaceae
27625	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Atheliales	Atheliaceae
27626	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Gloeophyllales	Gloeophyllaceae
27627	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Corticiales	Corticiaceae
27629	Eukarya	Fungi	Ascomycota			
27630	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Marasmiaceae
27631	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Russulales	Stereaceae
27632	Eukarya	Fungi	Ascomycota	Sordariomycetes	Xylariales	Hypoxylaceae
27633	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Corticiales	Corticiaceae
27634	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae
27635	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	
27636	Eukarya	Fungi	Ascomycota	Pezizomycetes	Pezizales	
27637	Eukarya	Fungi	Ascomycota	Leotiomycetes	Erysiphales	Erysiphaceae
27638	Eukarya	Fungi	Ascomycota			
27640	Eukarya	Fungi	Ascomycota	Leotiomycetes	Erysiphales	Erysiphaceae
27641	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Hydnaceae
27642	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Meruliaceae
27643	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae
27645	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Schizoporaceae
27646	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Corticiales	Corticiaceae
27647	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Cystostereaceae
27650	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Boletales	
27653	Eukarya	Fungi	Basidiomycota	Agaricomycetes		
27654	Eukarya	Fungi	Ascomycota			
27655	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Gloeophyllales	
27656	Eukarya	Fungi	Basidiomycota	Pucciniomycetes	Platygloeales	Platygloeaceae
27657	Eukarya	Fungi	Ascomycota			
27659	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae
27660	Eukarya	Fungi	Ascomycota	Eurotiomycetes	Pyrenulales	
27661	Eukarya	Fungi	Basidiomycota	Agaricomycetes	Auriculariales	
