id	text_name	author	deprecated	correct_spelling_id	synonym_id	rank
97	Pyronema domesticum	(Sowerby) Sacc.	0	NULL	NULL	4
99	Pulveroboletus ravenelii	(Berk. & M.A. Curtis) Murrill	0	NULL	2684	4
100	Pseudohydnum gelatinosum	(Scop.) P. Karst.	0	NULL	NULL	4
101	Pseudocolus fusiformis	(E. Fisch.) Lloyd	0	NULL	325	4
102	Pseudoclitocybe cyathiformis	(Bull.) Singer	0	NULL	697	4
105	Psathyrella longipes	(Peck) A.H. Sm.	0	NULL	9677	4
108	Pluteus	Fr.	0	NULL	6598	9
111	Pleurotus ostreatus	(Jacq.) P. Kumm.	0	NULL	8924	4
112	Pleurotus eryngii	(DC.) Quél.	0	NULL	NULL	4
113	Pleurotus djamor	(Rumph. ex Fr.) Boedijn	0	NULL	NULL	4
114	Pleurotus columbinus	Quél.	0	NULL	NULL	4
115	Plectania nannfeldtii	Korf	0	NULL	NULL	4
116	Pithya vulgaris	Fuckel	0	NULL	4506	4
117	Pithya	Fuckel	0	NULL	4505	9
118	Pisolithus arhizus	(Scop.) Rauschert	0	NULL	8992	4
119	Phyllotopsis nidulans	(Pers.) Singer	0	NULL	2814	4
120	Pholiota velaglutinosa	A.H. Sm. & Hesler	0	NULL	NULL	4
121	Pholiota	(Fr.) P. Kumm.	0	NULL	6393	9
122	Phellodon niger	(Fr.) P. Karst.	0	NULL	7859	4
123	Phellinus gilvus	(Schwein.) Pat.	1	NULL	3356	4
124	Phellinus everhartii	(Ellis & Galloway) A. Ames	1	NULL	6115	4
125	Phallus hadriani	Vent.	0	NULL	296	4
126	Phaeolus schweinitzii	(Fr.) Pat.	0	NULL	2883	4
127	Phaeocollybia californica	A.H. Sm.	0	NULL	NULL	4
128	Peziza violacea	Pers.	1	NULL	7914	4
129	Peziza	Dill. ex Fr.	0	NULL	9796	9
131	Peziza arvernensis	Roze & Boud.	0	NULL	294	4
132	Paxillus atrotomentosus	(Batsch) Fr.	1	NULL	508	4
133	Parasola plicatilis	(Curtis) Redhead, Vilgalys & Hopple	0	NULL	567	4
134	Panaeolus	(Fr.) Quél.	0	NULL	9982	9
135	Panaeolus foenisecii	(Pers.) J. Schröt.	0	NULL	605	4
136	Otidea onotica	(Pers.) Fuckel	0	NULL	4583	4
137	Ossicaulis lignatilis	(Pers.) Redhead & Ginns	0	NULL	4542	4
139	Omphalotus illudens	(Schwein.) Bresinsky & Besl	0	NULL	NULL	4
140	Contumyces rosella	(M.M. Moser) Redhead, Moncalvo, Vilgalys & Lutzoni	1	5603	608	4
141	Oligoporus caesius	(Schrad.) Gilb. & Ryvarden	1	NULL	524	4
142	Nolanea	(Fr.) P. Kumm.	0	NULL	5012	9
143	Nolanea holoconiota	Largent & Thiers	0	NULL	6244	4
144	Nolanea hirtipes	(Schumach.) P. Kumm.	1	NULL	2975	4
145	Nidula candida	(Peck) V.S. White	0	NULL	NULL	4
146	Neolecta irregularis	(Peck) Korf & J.K. Rogers	0	NULL	NULL	4
147	Mycena	(Pers.) Roussel	0	NULL	9375	9
148	Mycena rorida	(Scop.) Quél.	1	NULL	2582	4
149	Mycena pura	(Pers.) P. Kumm.	0	NULL	570	4
150	Mycena oregonensis	A.H. Sm.	0	NULL	NULL	4
151	Mycena leaiana	(Berk.) Sacc.	0	NULL	6107	4
152	Mycena amabilissima	Peck	1	NULL	4035	4
153	Mycena acicula	(Schaeff.) P. Kumm.	0	NULL	NULL	4
154	Morchella elata	Fr.	1	NULL	9990	4
155	Morchella deliciosa	Fr.	0	NULL	NULL	4
